lp ---	kod	nazwa	grupa	dostawca	iloúÊ	cena netto	cena zakupu	[-OPAKOWANIE]	[-WAGA-JEDNOSTKOWA]	[-WAGA-OPAKOWANIA]	[-INDEKS-DOSTAWCY]	[-PLIK-FOTO]
1	5906874346044	ABSZTYFIKANT JUPIKAJEJ	IPA	ABSZTYFIKANT		6,73	5,38	17-08-30				
2	5906874346037	ABSZTYFIKANT KUMARU 	STOUT	ABSZTYFIKANT		8,-	6,40	17-08-20				
3	5906874346051	ABSZTYFIKANT NIEWINNY CZARODZIEJ	APA	ABSZTYFIKANT		6,50	4,85	17-10-12				
4	5906874346006	ABSZTYFIKANT OSTATNI DZIE— GRAWITACJI	IPA	ABSZTYFIKANT		5,84	4,67	17-04-30 				
5	5903364108496	ALEBROWAR BE LIKE MITCH	WHEAT	ALE BROWAR		5,06	4,05	17-05-13				
6	5903364108359	ALEBROWAR CRAZY MIKE BUT. 0,5 L	IPA	Kraina Piwa		7,13	5,70	17-05-07				
7	5903364108267	ALEBROWAR GOLDEN MONK	IPA	ALE BROWAR		5,85	4,68	17-05-07				
8	5903364108151	ALEBROWAR ROWING JACK BUT. 0,5 L	IPA	Kraina Piwa		6,-	4,80	17-04-02				
9	5903364108175	ALEBROWAR SWEET COW	STOUT	ALE BROWAR		5,0625	4,05	17-05-14				
10	5903364108618	ALEBROWAR WHAT A SHOT BUT. 0,5 L	IPA	Kraina Piwa		5,88	4,70	17-04-02				
11	5906874097090	ANTYBROWAR PROGNOZA	IPA	ANTYBROWAR		5,13	3,58	18-03-12				
12	5906874097175	ANTYBROWAR PROGRAM	INNE	ANTYBROWAR		4,81	3,35	18-10-03				
13	5906874097168	ANTYBROWAR PROJEKT JABEERWOCKY	APA	ANTYBROWAR		4,55	3,18	18-02-16				
14	5906874097113	ANTYBROWAR PROKREACJA	WHEAT	ANTYBROWAR		3,57	2,51	18-01-13				
15	5906874097151	ANTYBROWAR PROMOTOR	IPA	ANTYBROWAR		4,68	3,26	18-03-18				
16	5906874097137	ANTYBROWAR PROROCK	IPA	ANTYBROWAR		5,13	3,58	18-02-01				
17	0000000000000	ARTEZAN BA£WAN BUT. 0,5 L	APA	Kraina Piwa		6,31	5,05	17-04-09				
18	5904730574013	ARTEZAN MERA IPA 15,0∞ BUT. 0,5 L	IPA	Kraina Piwa		6,88	5,50	17-04-23				
19	5904730574051	ARTEZAN PACIFIC PALE ALE 12,5∞ BUT. 0,5 L	APA	Kraina Piwa		6,31	5,05	17-04-15				
20	5903240620326	BIRBANT HOPSBANT CITRA IPA 15,5∞ BUT. 0,5 L	IPA	Kraina Piwa		6,19	4,95	17-10-17				
21	5903240620135	BIRBANT JAMARILLO CC 14,0∞ BUT. 0,5 L	APA	Kraina Piwa		6,06	4,85	17-10-09				
22	5903240620302	BIRBANT PILS AMERICAN SZEJK BUT. 0,5 L	LAGER	Kraina Piwa		5,38	4,30	17-03-20				
23	5903240620050	BIRBANT RED IPA 16,5∞ BUT. 0,5 L	IPA	Kraina Piwa		5,94	4,75	17-06-05				
24	5903240620098	BIRBANT WHITE AIPA 15,5∞ BUT. 0,5 L	IPA	Kraina Piwa		5,81	4,65	17-04-21				
25	5906874725023	BMS FESTIWALOWE	IPA	BMS	116	5,26	4,23	Wariacja na temat bardzo popularnego gatunku piwa o rodowodzie AmerykaÒskim. Nasza AIPA cechuje siÍ wzorowym aromatem pochodzπcym od chmieli odmian amerykaÒskich oraz polskich. Cytrusowo-øywiczne aromaty doskonale uzupe≥niane sπ przez wyraünπ lecz nienachalnπ goryczkÍ. Piwo mocne, rÛwnieø w smaku i aromacie.	6,8 g	15,9 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\BMS\festiwalowe.jpg 
26	5906874725030	BMS KURORTOWE	WHEAT	BMS	206	4,61	3,71	Nietypowa interpretacja klasycznego belgijskiego piwa pszenicznego - Witbier'a. Intensywny aromat s≥odkiej pomaraÒczy podsycony pomaraÒczπ gorzkπ i prze≥amany lekkπ nutkπ kolendry niesamowicie zadowala kaøde podniebienie i zapewnia orzeüwienie w najbardziej upalny letni dzieÒ. £agodnπ goryczkÍ pochodzπca z polskiej odmiany chmielu Marynka, wzbogaca delikatna cytrusowa gorycz. Starannie dobrane droødøe o Belgijskim rodowodzie nadajπ szlachetnego charakteru temu piwu.	5,1 g	12 g	Witbeer	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\BMS\kurortowe.jpg 
27	5906874725016	BMS PLAØOWE	LAGER	BMS	93	4,22	3,38	Nasza wizja klasycznego Czeskiego Pilsnera. Piwo stworzone ca≥kowicie przy uøyciu polskiego s≥odu oraz polskich chmieli. Aromaty zio≥owo-owocowe doskonale zbalansowane sπ pe≥niπ s≥odowπ oraz chmielowπ szlachetnπ goryczkπ. Receptura zosta≥a nagrodzona III Miejscem na Konkursie Piw Rzemieúlniczych KPR 2016. SprÛbuj Naszego piwa, a zobaczysz jak smakuje letnie orzeüwienie!	5,4 g	12,1 g	Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\BMS\plaøowe.jpg 
28	5905279756045	BRODACZ CALIFORNIA	IPA	BRODACZ		6,56	5,1321	17-12-31/18-02-28				
29	5905279756236	BRODACZ DLA PASKUDNYCH PIJAK”W	APA	BRODACZ		6,24	4,99	17-12-31/18-02-28				
30	5905279756410	BRODACZ EDWARD	STOUT	BRODACZ		6,63	5,29					
31	5905279756052	BRODACZ HARRY	INNE	BRODACZ		6,30	5,0294	17-10-31/18-02-28				
32	5905279756366	BRODACZ JACK	IPA	BRODACZ		7,86	6,29					
33	5905279756205	BRODACZ JULIAN / AMERICANO	INNE	BRODACZ		6,04	4,69	17-12-31				
34	5905279756403	BRODACZ MARTY	IPA	BRODACZ		6,76	5,39					
35	5905279756397	BRODACZ NINA	IPA	BRODACZ		6,50	5,19					
36	5905279756342	BRODACZ PETER	IPA	BRODACZ		7,47	5,99					
37	5905279756335	BRODACZ WILSON	IPA	BRODACZ		7,21	5,6463	18-02-28				
38	5905669783033	BROKREACJA THE ALCHEMIST	IPA	BROKREACJA		6,0625	4,85	17-08-13				
39	5905669783002	BROKREACJA THE BUTCHER	IPA	BROKREACJA		6,04	4,85	17-08-13				
40	5905669783248	BROKREACJA THE FIGHTER	IPA	BROKREACJA		6,8125	5,45	17-08-27				
41	5905669783071	BROKREACJA THE MINER	IPA	BROKREACJA		6,0625	4,85	17-08-22				
42	5905669783095	BROKREACJA THE NURSE	WHEAT	BROKREACJA		5,5625	4,45	17-08-27				
43	8594044190015	CUBA KONRAD JASNY 11	LAGER	CUBA SYSTEM		3,31	2,63	18-03-16				
44	8594044190022	CUBA KONRAD KAPUCIN	LAGER	CUBA SYSTEM		3,51	2,78	17-12-19				
45	8594044190046	CUBA KONRAD PREMIUM 12	LAGER	CUBA SYSTEM		3,31	2,63	18-04-27				
46	8594044360463	CUBA LOBKOWICZ LEØAK	LAGER	CUBA SYSTEM		4,16	3,33	18-01-24				
47	5906874947067	CZARNA OWCA CHMIELON	IPA	CZARNA OWCA	30	5,46	4,90	ÑChmielÛnî to po≥πczenie treúciwego, mocnego piwa i aromatÛw amerykaÒskich chmieli.	7 g	16,5 g	AIPA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\czarna owca\chmielon but.png 
48	0000000000002	CZARNA OWCA CIEMNY TYP	STOUT	CZARNA OWCA	35	4,42	3,99	ÑCiemny Typî ma wyjπtkowe powaøanie w stadzie Browaru Czarna Owca. Ma skomplikowany charakter - nieprzejrzyúcie czarnπ powierzchownoúÊ oraz Ñpaloneî aromaty ≥πczy ze s≥odyczπ pierwszego bliskiego kontaktu i wyczuwalnπ mocπ, ktÛrej towarzyszy wyraüna goryczka. 	5 g	14 g	Stout Stout	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\czarna owca\Ciemny-Typ-nowa-butelka2.png 
49	5906874947104	CZARNA OWCA EXLIBRIS	STOUT	CZARNA OWCA	25	10,01	9,-	W aromacie kawa, gorzka czekolada, moøna teø wyczuÊ wanilie, aromat úrednio intensywny	10 g	24 g	RIS 	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\czarna owca\exlibris2- ris.png 
50	5906874947005	CZARNA OWCA HIPERBOLAGER	LAGER	CZARNA OWCA		5,39	4,60					
51	0000000000005	CZARNA OWCA HOPSESJA	IPA	CZARNA OWCA		5,-	4,30	17-07-11 / 17-09-24				
52	5906874947029	CZARNA OWCA JASNA SPRAWA	LAGER	CZARNA OWCA		4,87	4,20	18-02-05				
53	0000000000004	CZARNA OWCA KOèLAK	STOUT	CZARNA OWCA		3,9375	4,20	17-06-15				
54	5906874947012	CZARNA OWCA LEØAK KOCIEWSKI	LAGER	CZARNA OWCA		5,07	4,30	 				
55	5906874947074	CZARNA OWCA NOSTER	PORTER	CZARNA OWCA		6,50	5,50	18-09-08				
56	5906874947081	CZARNA OWCA NOSTER BBA	PORTER	CZARNA OWCA		9,42	8,-	 				
57	0430240041882	CZARNA OWCA NOSTER KEG 20L				295,-	280,-					
58	5906874947050	CZARNA OWCA OBYWATEL PILS	LAGER	CZARNA OWCA	47	4,87	4,40	Delikatny lager z potÍønπ dawkπ aromatycznego chmielu dodanego na zimno.	4,5 g	11 g	Pils	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\czarna owca\jasna sprawa but.png 
59	0430240036550	CZARNA OWCA OBYWATEL PILS KEG 30L				210,-	200,-					
60	5906874947036	CZARNA OWCA ODRODZENIE	APA	CZARNA OWCA	49	4,87	4,40	Swobodna interpretacja angielskiego stylu Pale Ale. Cytrusowy aromat zawdziÍcza amerykaÒskim odmianom chmielu. S≥odowy smak koÒczy delikatna goryczka. GÍstπ i trwa≥π pianÍ zawdziÍcza znacznemu udzia≥owi s≥odu pszenicznego. To lekkie piwo, doskona≥e na letnie upa≥y o wyjπtkowo úwieøym, cytrusowym smaku i zapachu.	4,2 g	11 g	APA	C:\Users\Dell\OneDrive - Chmielove\cennik\materia≥y browary\czarna owca\odrodzenie but.png 
61	0430240029132	CZARNA OWCA ODRODZENIE KEG 30L				210,-	200,-					
62	5906874947043	CZARNA OWCA POMARA—CZOWE OWCE	WHEAT	CZARNA OWCA		5,39	4,60	18-03-22				
63	5906395303212	DEER BEAR SQUEEZER	INNE	DEER BEAR		5,78	4,60					
